index,c_office_id,c_office_type_id,c_office_tree_id,c_office_type_type_code,c_office_l1,c_office_l2,c_office_l3,c_office_l4,c_office_l5
547,737,011090101,15070101,0,0,0,0,0,0
548,738,011090201,15070201,0,0,0,0,0,0
549,739,011090201,15070201,0,0,0,0,0,0
550,741,011010300,150103,0,0,0,0,0,0
551,742,011010300,150103,0,0,0,0,0,0
552,743,011010300,150103,0,0,0,0,0,0
553,744,011010300,150103,0,0,0,0,0,0
554,745,011010300,150103,0,0,0,0,0,0
555,746,011010300,150103,0,0,0,0,0,0
556,747,011010300,150103,0,0,0,0,0,0
557,748,011010300,150103,0,0,0,0,0,0
558,749,011010300,150103,0,0,0,0,0,0
559,750,011010300,150103,0,0,0,0,0,0
560,751,011010300,150103,0,0,0,0,0,0
561,752,011010300,150103,0,0,0,0,0,0
562,753,011010300,150103,0,0,0,0,0,0
563,754,011010300,150103,0,0,0,0,0,0
564,756,011010300,150103,0,0,0,0,0,0
565,757,011010300,150103,0,0,0,0,0,0
566,758,011010300,150103,0,0,0,0,0,0
567,759,011090201,15070201,0,0,0,0,0,0
568,760,011040303,1503020303,0,0,0,0,0,0
569,761,9999,1599,0,0,0,0,0,0
570,762,011070400,15060104,0,0,0,0,0,0
571,763,011070700,15060107,0,0,0,0,0,0
572,764,011070500,15060105,0,0,0,0,0,0
