index,c_personid,c_inst_name_code,c_inst_code,c_bi_role_code,c_bi_begin_year,c_bi_by_nh_code,c_bi_by_nh_year,c_bi_by_range,c_bi_end_year,c_bi_ey_nh_code,c_bi_ey_nh_year,c_bi_ey_range,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date,tts_sysno
159,113239,368,808,20,,,,,,,,,9599.0,14188,,元代釋炳同113239居鄞之雪竇寺,,,,,142.0
160,113241,164,284,20,,,,,,,,,9599.0,14190,,元代釋英辯113241居泰州景福寺,,,,,143.0
161,113243,302,651,20,,,,,,,,,9599.0,14192,,元代釋原妙113243居天目山獅子院,,,,,144.0
162,113245,363,802,20,,,,,,,,,9599.0,14194,,元代釋悅可113245居居西隱寺,,,,,145.0
163,113246,328,722,20,,,,,,,,,9599.0,14195,,元代釋悟光113246居四明天童寺,,,,,146.0
164,113250,69,130,20,,,,,,,,,9599.0,14199,,元代釋海印113250居居鄒縣大明 禪院,,,,,147.0
165,113251,289,618,20,,,,,,,,,9599.0,14200,,元代釋珠明113251居餘杭聖果寺,,,,,148.0
166,113254,153,263,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9599.0,14203,,元代釋祖傑113254居永嘉江心寺; Temple ID 139562 Location: 永嘉縣孤嶼山; Founding: 唐咸通中,,,,,149.0
167,113255,102,177,20,,,,,,,,,9599.0,14205,,元代釋祖進113255居封崇寺,,,,,150.0
168,113256,257,511,20,,,,,,,,,9599.0,14206,,元代釋祖瑛113256居吳江普向院,,,,,151.0
169,113258,195,367,20,,,,,,,,,9599.0,14208,,元代釋祖誾113258居靈隱寺,,,,,152.0
170,113260,285,613,20,,,,,,,,,9599.0,14210,,元代釋祖鐙113260居台州之上雲峯寺,,,,,153.0
171,113264,214,412,20,,,,,,,,,9599.0,14214,,元代釋崇琛113264居真定龍興寺,,,,,154.0
172,113265,304,653,20,,,,,,,,,9599.0,14215,,元代釋崇超113265居居杭州東山 壽聖寺,,,,,155.0
